Time [s],T1,T2,T3,T4,T5
16.034607000,0,0,0,1,0
16.035042667,0,0,0,0,0
16.085078875,0,0,0,1,0
16.085514542,0,0,0,0,0
16.135561625,0,0,0,1,0
16.136003375,0,0,0,0,0
16.186044375,0,0,0,1,0
16.186486125,0,0,0,0,0
16.236522292,0,0,0,1,0
16.236958000,0,0,0,0,0
16.287002292,1,0,0,0,0
16.347886667,0,0,0,0,0
16.347897250,0,1,0,0,0
16.348011750,0,0,0,0,0
16.348025500,0,0,1,0,0
16.348140667,0,0,0,0,0
16.348158542,0,0,0,1,0
16.348594250,0,0,0,0,0
16.348611125,0,0,0,0,1
16.404098417,0,0,0,0,0
16.404116292,0,0,0,1,0
16.404558042,0,0,0,0,0
16.438445875,0,0,0,1,0
16.438881542,0,0,0,0,0
16.488917750,0,0,0,1,0
16.489359500,0,0,0,0,0
16.539406542,0,0,0,1,0
16.539842250,0,0,0,0,0
16.589878750,0,0,0,1,0
16.590314417,0,0,0,0,0
16.640361500,0,0,0,1,0
16.640803250,0,0,0,0,0
16.690844250,0,0,0,1,0
16.691286000,0,0,0,0,0
16.741322167,0,0,0,1,0
16.741757875,0,0,0,0,0
16.791802167,1,0,0,0,0
16.813855625,0,0,0,0,0
16.813866167,0,1,0,0,0
16.813979625,0,0,0,0,0
16.813993375,0,0,1,0,0
16.814108875,0,0,0,0,0
16.814126750,0,0,0,1,0
16.814562417,0,0,0,0,0
16.814579292,0,0,0,0,1
16.870100375,0,0,0,0,0
16.870118250,0,0,0,1,0
16.870560000,0,0,0,0,0
16.892766750,0,0,0,1,0
16.893202417,0,0,0,0,0
16.943238625,0,0,0,1,0
16.943674292,0,0,0,0,0
16.993721375,0,0,0,1,0
16.994163125,0,0,0,0,0
17.044204125,0,0,0,1,0
17.044645875,0,0,0,0,0
17.094682042,0,0,0,1,0
17.095117750,0,0,0,0,0
17.145165125,0,0,0,1,0
17.145606875,0,0,0,0,0
17.195637000,0,0,0,1,0
17.196078750,0,0,0,0,0
17.246125792,0,0,0,1,0
17.246561500,0,0,0,0,0
17.296601917,0,0,0,1,0
17.297037625,0,0,0,0,0
17.297048500,1,0,0,0,0
17.357939250,0,0,0,0,0
17.357949792,0,1,0,0,0
17.358067625,0,0,0,0,0
17.358081375,0,0,1,0,0
17.358196875,0,0,0,0,0
17.358214750,0,0,0,1,0
17.358656500,0,0,0,0,0
17.358673375,0,0,0,0,1
17.414184417,0,0,0,0,0
17.414202292,0,0,0,1,0
17.414638000,0,0,0,0,0
17.448036417,0,0,0,1,0
17.448472125,0,0,0,0,0
17.498519167,0,0,0,1,0
17.498960917,0,0,0,0,0
17.549001917,0,0,0,1,0
17.549443667,0,0,0,0,0
17.599479875,0,0,0,1,0
17.599915542,0,0,0,0,0
17.649962625,0,0,0,1,0
17.650398292,0,0,0,0,0
17.700445667,0,0,0,1,0
17.700887417,0,0,0,0,0
17.750923625,0,0,0,1,0
17.751359292,0,0,0,0,0
17.801398750,0,0,0,0,1
17.856908542,0,0,0,0,0
17.856919417,1,0,0,0,0
17.917799042,0,0,0,0,0
17.917809625,0,1,0,0,0
17.917923667,0,0,0,0,0
17.917937417,0,0,1,0,0
17.918052625,0,0,0,0,0
17.918070500,0,0,0,1,0
17.918506167,0,0,0,0,0
17.952845917,0,0,0,1,0
17.953281625,0,0,0,0,0
18.003317792,0,0,0,1,0
18.003759542,0,0,0,0,0
18.053800542,0,0,0,1,0
18.054242292,0,0,0,0,0
18.104278500,0,0,0,1,0
18.104714167,0,0,0,0,0
18.154761250,0,0,0,1,0
18.155196917,0,0,0,0,0
18.205244000,0,0,0,1,0
18.205685750,0,0,0,0,0
